,With Zach,Without Zach,Difference
W%,0.56,0.25,-0.31
exp_W%,0.49,0.43,-0.06
W% +/- exp,0.06,-0.18,-0.24
pts,18.56,16.12,-2.44
exp_pts,21.74,22.54,0.8
pts +/- exp,-3.18,-6.42,-3.24
tot_yds,285.78,354.62,68.84
exp_tot_yds,342.69,346.63,3.94
tot_yds +/- exp,-56.91,8.0,64.91
pass_yds,178.33,264.75,86.42
exp_pass_yds,225.54,223.96,-1.58
pass_yds +/- exp,-47.21,40.79,88.0
rush_yds,107.44,89.88,-17.56
exp_rush_yds,117.15,122.67,5.52
rush_yds +/- exp,-9.71,-32.79,-23.08
pass_rtg,72.81,75.43,2.62
exp_pass_rtg,88.58,89.18,0.6
pass_rtg +/- exp,-15.77,-13.75,2.02
yd_att,6.98,6.13,-0.85
exp_yd_att,7.03,7.18,0.15
yd_att +/- exp,-0.05,-1.05,-1.0
